EA_TUNNUS	LAHIN_TSA	NIMI_FI	EANIMI_FI	TIE	TIEOSA	ETAISYYS	X	Y	KUNNAN_NIMI
C0150804	1010	Tie 4 Mäntsälä	Tie 140 Helsinkiin	4	113	3850	6727326	409905	Mäntsälä
C0150809	1010	Tie 4 Mäntsälä	Tienpinta	4	113	3850	6727326	409905	Mäntsälä
C0453601	4025	Tie 4 Ahtiala	Heinolaan	4	203	0	6763107	434272	Lahti
C0453602	4025	Tie 4 Ahtiala	Lahteen	4	203	0	6763107	434272	Lahti
C0453609	4025	Tie 4 Ahtiala	Tienpinta	4	203	0	6763107	434272	Lahti
C0452601	6001	Tie 4 Heinola	Jyväskylään	4	208	0	6784699	446366	Heinola
C0452602	6001	Tie 4 Heinola	Lahteen	4	208	0	6784699	446366	Heinola
C0452603	6001	Tie 4 Heinola	Tie 140 Heinolaan	4	208	0	6784699	446366	Heinola
C0452604	6001	Tie 4 Heinola	Tie 140 Lahteen	4	208	0	6784699	446366	Heinola
C0453801	6004	Tie 4 Pekkala	Heinolaan	4	215	1913	6821080	446786	Hartola
